County,Size
"Autauga County, Alabama",594.44
"Baldwin County, Alabama","1,589.78"
"Barbour County, Alabama",884.88
"Bibb County, Alabama",622.58
"Blount County, Alabama",644.78
"Bullock County, Alabama",622.81
"Butler County, Alabama",776.83
"Calhoun County, Alabama",605.87
"Chambers County, Alabama",596.53
"Cherokee County, Alabama",553.70
"Chilton County, Alabama",692.85
"Choctaw County, Alabama",913.50
"Clarke County, Alabama","1,238.47"
"Clay County, Alabama",603.96
"Cleburne County, Alabama",560.10
"Coffee County, Alabama",678.97
"Colbert County, Alabama",592.62
"Conecuh County, Alabama",850.16
"Coosa County, Alabama",650.93
"Covington County, Alabama","1,030.46"
"Crenshaw County, Alabama",608.84
"Cullman County, Alabama",734.84
"Dale County, Alabama",561.15
"Dallas County, Alabama",978.70
"DeKalb County, Alabama",777.09
"Elmore County, Alabama",618.49
"Escambia County, Alabama",945.08
"Etowah County, Alabama",534.99
"Fayette County, Alabama",627.66
"Franklin County, Alabama",633.82
"Geneva County, Alabama",574.41
"Greene County, Alabama",647.11
"Hale County, Alabama",643.94
"Henry County, Alabama",561.75
"Houston County, Alabama",579.82
"Jackson County, Alabama","1,077.87"
"Jefferson County, Alabama","1,111.28"
"Lamar County, Alabama",604.85
"Lauderdale County, Alabama",667.70
"Lawrence County, Alabama",690.68
"Lee County, Alabama",607.54
"Limestone County, Alabama",559.94
"Lowndes County, Alabama",715.91
"Macon County, Alabama",608.89
"Madison County, Alabama",801.59
"Marengo County, Alabama",976.88
"Marion County, Alabama",742.29
"Marshall County, Alabama",565.84
"Mobile County, Alabama","1,229.44"
"Monroe County, Alabama","1,025.68"
"Montgomery County, Alabama",784.25
"Morgan County, Alabama",579.34
"Perry County, Alabama",719.66
"Pickens County, Alabama",881.41
"Pike County, Alabama",672.09
"Randolph County, Alabama",580.55
"Russell County, Alabama",641.14
"Shelby County, Alabama",784.93
"St. Clair County, Alabama",631.90
"Sumter County, Alabama",903.89
"Talladega County, Alabama",736.78
"Tallapoosa County, Alabama",716.52
"Tuscaloosa County, Alabama","1,321.76"
"Walker County, Alabama",791.19
"Washington County, Alabama","1,080.21"
"Wilcox County, Alabama",888.50
"Winston County, Alabama",612.98
"Aleutians East Borough County, Alaska","6,981.94"
"Aleutians West Census Area County, Alaska","4,390.28"
"Anchorage Municipality County, Alaska","1,704.68"
"Bethel Census Area County, Alaska","40,570.00"
"Bristol Bay Borough County, Alaska",503.84
"Denali Borough County, Alaska","12,751.41"
"Dillingham Census Area County, Alaska","18,568.78"
"Fairbanks North Star Borough County, Alaska","7,338.21"
"Haines Borough County, Alaska","2,318.60"
"Hoonah-Angoon Census Area County, Alaska","7,524.92"
"Juneau City and Borough County, Alaska","2,701.93"
"Kenai Peninsula Borough County, Alaska","16,075.33"
"Ketchikan Gateway Borough County, Alaska","4,858.41"
"Kodiak Island Borough County, Alaska","6,549.58"
"Lake and Peninsula Borough County, Alaska","23,652.01"
"Matanuska-Susitna Borough County, Alaska","24,607.90"
"Nome Census Area County, Alaska","22,961.76"
"North Slope Borough County, Alaska","88,695.41"
"Northwest Arctic Borough County, Alaska","35,572.58"
"Petersburg Census Area County, Alaska","3,281.98"
"Prince of Wales-Hyder Census Area County, Alaska","3,922.87"
"Sitka City and Borough County, Alaska","2,870.34"
"Skagway Municipality County, Alaska",452.33
"Southeast Fairbanks Census Area County, Alaska","24,768.81"
"Valdez-Cordova Census Area County, Alaska","34,239.88"
"Wade Hampton Census Area County, Alaska","17,081.43"
"Wrangell City and Borough County, Alaska","2,541.48"
"Yakutat City and Borough County, Alaska","7,649.46"
"Yukon-Koyukuk Census Area County, Alaska","145,504.79"
"Apache County, Arizona","11,197.52"
"Cochise County, Arizona","6,165.69"
"Coconino County, Arizona","18,618.89"
"Gila County, Arizona","4,757.93"
"Graham County, Arizona","4,622.60"
"Greenlee County, Arizona","1,843.13"
"La Paz County, Arizona","4,499.63"
"Maricopa County, Arizona","9,200.14"
"Mohave County, Arizona","13,311.08"
"Navajo County, Arizona","9,950.42"
"Pima County, Arizona","9,187.04"
"Pinal County, Arizona","5,365.61"
"Santa Cruz County, Arizona","1,236.92"
"Yavapai County, Arizona","8,123.50"
"Yuma County, Arizona","5,513.99"
"Arkansas County, Arkansas",988.77
"Ashley County, Arkansas",925.35
"Baxter County, Arkansas",554.28
